scenario,attack_ratio,seed,sim_time_us,mote,record_type,event,time_ticks,node,role,attack,seq,rank,dag_rank,parent,parent_rank,parent_metric,etx,rssi,nbrs,delay_ticks,time_s,bucket_end_s,snapshot_id,advertised_rank,actual_rank_from_dio,rank_decrement,rank_delta,tx_count,rx_success_count,mean_delivery_delay_ticks,pdr
50n_10p_seed1,0.1,1,60392984,1,TRACE,rx,59844,1,root,0,1,128,1,0,65535,65535,65535,32767,21,18446744073709551192,59.844,60,50n_10p_seed1_t00060,128.0,128.0,,0.0,0,0,0.0,0.0
50n_10p_seed1,0.1,1,50765000,2,TRACE,periodic,50001,2,benign,0,0,706,5,19,514,192,192,-75,7,0,50.001,60,50n_10p_seed1_t00060,706.0,706.0,,0.0,0,0,0.0,0.0
50n_10p_seed1,0.1,1,50642000,3,TRACE,periodic,50001,3,benign,0,1,346,2,6,128,218,218,-91,11,0,50.001,60,50n_10p_seed1_t00060,346.0,346.0,,0.0,1,1,189.0,1.0
50n_10p_seed1,0.1,1,50971000,4,TRACE,periodic,50001,4,benign,0,1,488,3,21,288,200,200,-84,12,0,50.001,60,50n_10p_seed1_t00060,488.0,488.0,,0.0,1,1,472.0,1.0
50n_10p_seed1,0.1,1,50065000,5,TRACE,periodic,50001,5,benign,0,1,477,3,21,288,189,189,-72,13,0,50.001,60,50n_10p_seed1_t00060,477.0,477.0,,0.0,1,1,1.8446744073709552e+19,1.0
50n_10p_seed1,0.1,1,60003000,6,TRACE,tx,59189,6,attacker,1,1,456,3,21,288,168,168,-80,13,0,59.189,60,50n_10p_seed1_t00060,128.0,456.0,512.0,328.0,2,2,326.5,1.0
50n_10p_seed1,0.1,1,50505000,7,TRACE,periodic,50001,7,benign,0,1,295,2,24,128,167,167,-89,12,0,50.001,60,50n_10p_seed1_t00060,295.0,295.0,,0.0,1,1,42.0,1.0
50n_10p_seed1,0.1,1,50907000,8,TRACE,periodic,50001,8,benign,0,1,448,3,14,277,171,171,-86,10,0,50.001,60,50n_10p_seed1_t00060,448.0,448.0,,0.0,1,1,432.0,1.0
50n_10p_seed1,0.1,1,50240000,9,TRACE,periodic,50001,9,attacker,1,0,305,2,24,128,177,177,-85,7,0,50.001,60,50n_10p_seed1_t00060,128.0,305.0,512.0,177.0,0,0,0.0,0.0
50n_10p_seed1,0.1,1,57465000,10,TRACE,tx,57164,10,benign,0,1,485,3,27,273,212,212,-81,10,0,57.164,60,50n_10p_seed1_t00060,485.0,485.0,,0.0,2,2,1.8446744073709552e+19,1.0
50n_10p_seed1,0.1,1,50137000,11,TRACE,periodic,50001,11,benign,0,1,455,3,14,277,178,178,-91,13,0,50.001,60,50n_10p_seed1_t00060,455.0,455.0,,0.0,1,1,1.8446744073709552e+19,1.0
