scenario,attack_ratio,seed,sim_time_us,mote,record_type,time_ticks,node,seq,bytes,time_s,root,sender,delay_ticks
50n_10p_seed1,0.1,1,20036000,20,TX,20024,20.0,0,10,20.024,,,
50n_10p_seed1,0.1,1,20050696,1,RX,19502,,0,11,19.502,1.0,20.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,20695000,28,TX,20275,28.0,0,10,20.275,,,
50n_10p_seed1,0.1,1,20735696,1,RX,20187,,0,11,20.187,1.0,28.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,21863000,16,TX,21002,16.0,0,10,21.002,,,
50n_10p_seed1,0.1,1,21925984,1,RX,21377,,0,11,21.377,1.0,16.0,375.0
50n_10p_seed1,0.1,1,22853000,33,TX,22745,33.0,0,10,22.745,,,
50n_10p_seed1,0.1,1,22909280,1,RX,22361,,0,11,22.361,1.0,33.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,23285000,46,TX,23085,46.0,0,10,23.085,,,
50n_10p_seed1,0.1,1,23315696,1,RX,22767,,0,11,22.767,1.0,46.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,23736000,25,TX,23254,25.0,0,10,23.254,,,
50n_10p_seed1,0.1,1,23775984,1,RX,23227,,0,11,23.227,1.0,25.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,24184000,44,TX,23764,44.0,0,10,23.764,,,
50n_10p_seed1,0.1,1,24227984,1,RX,23679,,0,11,23.679,1.0,44.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,24448000,40,TX,24246,40.0,0,10,24.246,,,
50n_10p_seed1,0.1,1,24463696,1,RX,23915,,0,11,23.915,1.0,40.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,24714000,38,TX,23744,38.0,0,10,23.744,,,
50n_10p_seed1,0.1,1,24738696,1,RX,24190,,0,11,24.19,1.0,38.0,446.0
50n_10p_seed1,0.1,1,25451000,30,TX,25400,30.0,0,10,25.4,,,
50n_10p_seed1,0.1,1,25476696,1,RX,24928,,0,11,24.928,1.0,30.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,25539000,34,TX,24704,34.0,0,10,24.704,,,
50n_10p_seed1,0.1,1,25598984,1,RX,25050,,0,11,25.05,1.0,34.0,346.0
50n_10p_seed1,0.1,1,27340000,41,TX,26951,41.0,0,10,26.951,,,
50n_10p_seed1,0.1,1,27378984,1,RX,26830,,0,11,26.83,1.0,41.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,28816000,36,TX,28133,36.0,0,10,28.133,,,
50n_10p_seed1,0.1,1,28857696,1,RX,28309,,0,11,28.309,1.0,36.0,176.0
50n_10p_seed1,0.1,1,29180000,10,TX,28879,10.0,0,10,28.879,,,
50n_10p_seed1,0.1,1,29182000,23,TX,28893,23.0,0,10,28.893,,,
50n_10p_seed1,0.1,1,29225696,1,RX,28677,,0,11,28.677,1.0,23.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,29228680,1,RX,28680,,0,11,28.68,1.0,10.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,30127000,37,TX,29945,37.0,0,10,29.945,,,
50n_10p_seed1,0.1,1,30151696,1,RX,29603,,0,11,29.603,1.0,37.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,30283000,22,TX,29563,22.0,0,10,29.563,,,
50n_10p_seed1,0.1,1,30319696,1,RX,29771,,0,11,29.771,1.0,22.0,208.0
50n_10p_seed1,0.1,1,30323000,48,TX,30034,48.0,0,10,30.034,,,
50n_10p_seed1,0.1,1,30380984,1,RX,29832,,0,11,29.832,1.0,48.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,31126000,12,TX,30128,12.0,0,10,30.128,,,
50n_10p_seed1,0.1,1,31150232,1,RX,30602,,0,11,30.602,1.0,12.0,474.0
50n_10p_seed1,0.1,1,31162000,47,TX,30738,47.0,0,10,30.738,,,
50n_10p_seed1,0.1,1,31195696,1,RX,30647,,0,11,30.647,1.0,47.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,31839000,31,TX,31126,31.0,0,10,31.126,,,
50n_10p_seed1,0.1,1,31861696,1,RX,31313,,0,11,31.313,1.0,31.0,187.0
50n_10p_seed1,0.1,1,31880000,7,TX,31376,7.0,0,9,31.376,,,
50n_10p_seed1,0.1,1,31966952,1,RX,31418,,0,10,31.418,1.0,7.0,42.0
50n_10p_seed1,0.1,1,32076000,32,TX,31334,32.0,0,10,31.334,,,
50n_10p_seed1,0.1,1,32115696,1,RX,31567,,0,11,31.567,1.0,32.0,233.0
50n_10p_seed1,0.1,1,32689000,5,TX,32625,5.0,0,9,32.625,,,
50n_10p_seed1,0.1,1,32731952,1,RX,32183,,0,10,32.183,1.0,5.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,33532000,18,TX,33281,18.0,0,10,33.281,,,
50n_10p_seed1,0.1,1,33578984,1,RX,33030,,0,11,33.03,1.0,18.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,33677000,35,TX,33066,35.0,0,10,33.066,,,
50n_10p_seed1,0.1,1,33720984,1,RX,33172,,0,11,33.172,1.0,35.0,106.0
50n_10p_seed1,0.1,1,34123000,42,TX,33287,42.0,0,10,33.287,,,
50n_10p_seed1,0.1,1,34143000,15,TX,33798,15.0,0,10,33.798,,,
50n_10p_seed1,0.1,1,34148696,1,RX,33600,,0,11,33.6,1.0,15.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,34162936,1,RX,33614,,0,11,33.614,1.0,42.0,327.0
50n_10p_seed1,0.1,1,34864000,19,TX,34496,19.0,0,10,34.496,,,
50n_10p_seed1,0.1,1,34905000,6,TX,34091,6.0,0,9,34.091,,,
50n_10p_seed1,0.1,1,34930984,1,RX,34382,,0,11,34.382,1.0,19.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,34979952,1,RX,34431,,0,10,34.431,1.0,6.0,340.0
50n_10p_seed1,0.1,1,35184000,14,TX,34493,14.0,0,10,34.493,,,
50n_10p_seed1,0.1,1,35222696,1,RX,34674,,0,11,34.674,1.0,14.0,181.0
50n_10p_seed1,0.1,1,35334000,11,TX,35198,11.0,0,10,35.198,,,
50n_10p_seed1,0.1,1,35365984,1,RX,34817,,0,11,34.817,1.0,11.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,35767000,8,TX,34861,8.0,0,9,34.861,,,
50n_10p_seed1,0.1,1,35841952,1,RX,35293,,0,10,35.293,1.0,8.0,432.0
50n_10p_seed1,0.1,1,36187000,43,TX,35974,43.0,0,10,35.974,,,
50n_10p_seed1,0.1,1,36252984,1,RX,35704,,0,11,35.704,1.0,43.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,37418000,13,TX,36878,13.0,0,10,36.878,,,
50n_10p_seed1,0.1,1,37426000,4,TX,36456,4.0,0,9,36.456,,,
50n_10p_seed1,0.1,1,37426696,1,RX,36878,,0,11,36.878,1.0,13.0,0.0
50n_10p_seed1,0.1,1,37476952,1,RX,36928,,0,10,36.928,1.0,4.0,472.0
50n_10p_seed1,0.1,1,38390000,39,TX,38252,39.0,0,10,38.252,,,
50n_10p_seed1,0.1,1,38405696,1,RX,37857,,0,11,37.857,1.0,39.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,38407000,17,TX,38322,17.0,0,10,38.322,,,
50n_10p_seed1,0.1,1,38436984,1,RX,37888,,0,11,37.888,1.0,17.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,38496000,50,TX,37499,50.0,0,10,37.499,,,
50n_10p_seed1,0.1,1,38560984,1,RX,38012,,0,11,38.012,1.0,50.0,513.0
50n_10p_seed1,0.1,1,38770000,21,TX,37845,21.0,0,10,37.845,,,
50n_10p_seed1,0.1,1,38799696,1,RX,38251,,0,11,38.251,1.0,21.0,406.0
50n_10p_seed1,0.1,1,39316000,27,TX,38651,27.0,0,10,38.651,,,
50n_10p_seed1,0.1,1,39350696,1,RX,38802,,0,11,38.802,1.0,27.0,151.0
50n_10p_seed1,0.1,1,39777000,29,TX,39740,29.0,0,10,39.74,,,
50n_10p_seed1,0.1,1,39799696,1,RX,39251,,0,11,39.251,1.0,29.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,39917000,45,TX,39126,45.0,0,10,39.126,,,
50n_10p_seed1,0.1,1,39935696,1,RX,39387,,0,11,39.387,1.0,45.0,261.0
50n_10p_seed1,0.1,1,42028000,20,TX,42016,20.0,1,10,42.016,,,
50n_10p_seed1,0.1,1,42050696,1,RX,41502,,1,11,41.502,1.0,20.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,43485000,46,TX,43285,46.0,1,10,43.285,,,
50n_10p_seed1,0.1,1,43498696,1,RX,42950,,1,11,42.95,1.0,46.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,45038000,40,TX,44836,40.0,1,10,44.836,,,
50n_10p_seed1,0.1,1,45056696,1,RX,44508,,1,11,44.508,1.0,40.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,45861000,3,TX,45220,3.0,0,9,45.22,,,
50n_10p_seed1,0.1,1,45957952,1,RX,45409,,0,10,45.409,1.0,3.0,189.0
50n_10p_seed1,0.1,1,45976000,28,TX,45556,28.0,1,10,45.556,,,
50n_10p_seed1,0.1,1,45996696,1,RX,45448,,1,11,45.448,1.0,28.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,46406000,30,TX,46355,30.0,1,10,46.355,,,
50n_10p_seed1,0.1,1,46415696,1,RX,45867,,1,11,45.867,1.0,30.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,47529000,38,TX,46559,38.0,1,10,46.559,,,
50n_10p_seed1,0.1,1,47546696,1,RX,46998,,1,11,46.998,1.0,38.0,439.0
50n_10p_seed1,0.1,1,48237000,26,TX,47811,26.0,0,10,47.811,,,
50n_10p_seed1,0.1,1,48275984,1,RX,47727,,0,11,47.727,1.0,26.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,48606000,33,TX,48498,33.0,1,10,48.498,,,
50n_10p_seed1,0.1,1,48651936,1,RX,48103,,1,11,48.103,1.0,33.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,49633000,24,TX,49454,24.0,0,10,49.454,,,
50n_10p_seed1,0.1,1,49667984,1,RX,49119,,0,11,49.119,1.0,24.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,49890000,41,TX,49501,41.0,1,10,49.501,,,
50n_10p_seed1,0.1,1,49896000,34,TX,49061,34.0,1,10,49.061,,,
50n_10p_seed1,0.1,1,49948984,1,RX,49400,,1,11,49.4,1.0,34.0,339.0
50n_10p_seed1,0.1,1,49960984,1,RX,49412,,1,11,49.412,1.0,41.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,53395000,49,TX,52701,49.0,0,10,52.701,,,
50n_10p_seed1,0.1,1,53449984,1,RX,52901,,0,11,52.901,1.0,49.0,200.0
50n_10p_seed1,0.1,1,54482000,31,TX,53769,31.0,1,10,53.769,,,
50n_10p_seed1,0.1,1,54521696,1,RX,53973,,1,11,53.973,1.0,31.0,204.0
50n_10p_seed1,0.1,1,54599000,44,TX,54179,44.0,1,10,54.179,,,
50n_10p_seed1,0.1,1,54646984,1,RX,54098,,1,11,54.098,1.0,44.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,54717000,42,TX,53881,42.0,1,10,53.881,,,
50n_10p_seed1,0.1,1,54745984,1,RX,54197,,1,11,54.197,1.0,42.0,316.0
50n_10p_seed1,0.1,1,55200000,15,TX,54855,15.0,1,10,54.855,,,
50n_10p_seed1,0.1,1,55211696,1,RX,54663,,1,11,54.663,1.0,15.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,57023000,22,TX,56303,22.0,1,10,56.303,,,
50n_10p_seed1,0.1,1,57030696,1,RX,56482,,1,11,56.482,1.0,22.0,179.0
50n_10p_seed1,0.1,1,57134000,18,TX,56883,18.0,1,10,56.883,,,
50n_10p_seed1,0.1,1,57165984,1,RX,56617,,1,11,56.617,1.0,18.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,57464000,10,TX,57163,10.0,1,10,57.163,,,
50n_10p_seed1,0.1,1,57522984,1,RX,56974,,1,11,56.974,1.0,10.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,57601000,48,TX,57312,48.0,1,10,57.312,,,
50n_10p_seed1,0.1,1,57682984,1,RX,57134,,1,11,57.134,1.0,48.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,58264000,35,TX,57653,35.0,1,10,57.653,,,
50n_10p_seed1,0.1,1,58337984,1,RX,57789,,1,11,57.789,1.0,35.0,136.0
50n_10p_seed1,0.1,1,58538000,25,TX,58056,25.0,1,10,58.056,,,
50n_10p_seed1,0.1,1,58604984,1,RX,58056,,1,11,58.056,1.0,25.0,0.0
50n_10p_seed1,0.1,1,60002000,6,TX,59188,6.0,1,9,59.188,,,
50n_10p_seed1,0.1,1,60049952,1,RX,59501,,1,10,59.501,1.0,6.0,313.0
50n_10p_seed1,0.1,1,60353000,17,TX,60268,17.0,1,10,60.268,,,
50n_10p_seed1,0.1,1,60392984,1,RX,59844,,1,11,59.844,1.0,17.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,60843000,16,TX,59982,16.0,1,10,59.982,,,
50n_10p_seed1,0.1,1,60909984,1,RX,60361,,1,11,60.361,1.0,16.0,379.0
50n_10p_seed1,0.1,1,61934000,21,TX,61009,21.0,1,10,61.009,,,
50n_10p_seed1,0.1,1,61971696,1,RX,61423,,1,11,61.423,1.0,21.0,414.0
50n_10p_seed1,0.1,1,62170000,14,TX,61479,14.0,1,10,61.479,,,
50n_10p_seed1,0.1,1,62188696,1,RX,61640,,1,11,61.64,1.0,14.0,161.0
50n_10p_seed1,0.1,1,62349000,37,TX,62167,37.0,1,10,62.167,,,
50n_10p_seed1,0.1,1,62363696,1,RX,61815,,1,11,61.815,1.0,37.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,63240000,23,TX,62951,23.0,1,10,62.951,,,
50n_10p_seed1,0.1,1,63271696,1,RX,62723,,1,11,62.723,1.0,23.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,63305000,32,TX,62563,32.0,1,10,62.563,,,
50n_10p_seed1,0.1,1,63332000,9,TX,63093,9.0,0,9,63.093,,,
50n_10p_seed1,0.1,1,63336696,1,RX,62788,,1,11,62.788,1.0,32.0,225.0
50n_10p_seed1,0.1,1,63405000,4,TX,62435,4.0,1,9,62.435,,,
50n_10p_seed1,0.1,1,63423952,1,RX,62875,,0,10,62.875,1.0,9.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,63434952,1,RX,62886,,1,10,62.886,1.0,4.0,451.0
50n_10p_seed1,0.1,1,63528000,5,TX,63464,5.0,1,9,63.464,,,
50n_10p_seed1,0.1,1,63569952,1,RX,63021,,1,10,63.021,1.0,5.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,63961000,46,TX,63761,46.0,2,10,63.761,,,
50n_10p_seed1,0.1,1,63977696,1,RX,63429,,2,11,63.429,1.0,46.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,64486000,36,TX,63803,36.0,1,10,63.803,,,
50n_10p_seed1,0.1,1,64500696,1,RX,63952,,1,11,63.952,1.0,36.0,149.0
50n_10p_seed1,0.1,1,64819000,8,TX,63913,8.0,1,9,63.913,,,
50n_10p_seed1,0.1,1,64863952,1,RX,64315,,1,10,64.315,1.0,8.0,402.0
50n_10p_seed1,0.1,1,65600000,47,TX,65176,47.0,1,10,65.176,,,
50n_10p_seed1,0.1,1,65642696,1,RX,65094,,1,11,65.094,1.0,47.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,66164000,19,TX,65796,19.0,1,10,65.796,,,
50n_10p_seed1,0.1,1,66190984,1,RX,65642,,1,11,65.642,1.0,19.0,1.8446744073709552e+19
50n_10p_seed1,0.1,1,67583000,7,TX,67079,7.0,1,9,67.079,,,
50n_10p_seed1,0.1,1,67689952,1,RX,67141,,1,10,67.141,1.0,7.0,62.0
50n_10p_seed1,0.1,1,68118000,12,TX,67120,12.0,1,10,67.12,,,
50n_10p_seed1,0.1,1,68166984,1,RX,67618,,1,11,67.618,1.0,12.0,498.0
50n_10p_seed1,0.1,1,68264000,2,TX,67500,2.0,0,9,67.5,,,
50n_10p_seed1,0.1,1,68327952,1,RX,67779,,0,10,67.779,1.0,2.0,279.0
50n_10p_seed1,0.1,1,69625000,3,TX,68984,3.0,1,9,68.984,,,
50n_10p_seed1,0.1,1,69714952,1,RX,69166,,1,10,69.166,1.0,3.0,182.0
50n_10p_seed1,0.1,1,69899000,27,TX,69234,27.0,1,10,69.234,,,
50n_10p_seed1,0.1,1,69905696,1,RX,69357,,1,11,69.357,1.0,27.0,123.0
50n_10p_seed1,0.1,1,70611000,13,TX,70071,13.0,1,10,70.071,,,
50n_10p_seed1,0.1,1,70637696,1,RX,70089,,1,11,70.089,1.0,13.0,18.0
50n_10p_seed1,0.1,1,71073000,38,TX,70103,38.0,2,10,70.103,,,
50n_10p_seed1,0.1,1,71102696,1,RX,70554,,2,11,70.554,1.0,38.0,451.0
