scenario,attack_ratio,seed,sim_time_us,mote,record_type,event,time_ticks,node,role,attack,seq,rank,dag_rank,parent,parent_rank,parent_metric,etx,rssi,nbrs,delay_ticks,time_s
50n_10p_seed1,0.1,1,13000,20,TRACE,boot,1,20,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,38000,29,TRACE,boot,1,29,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,52000,30,TRACE,boot,1,30,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,65000,5,TRACE,boot,1,5,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,86000,17,TRACE,boot,1,17,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,109000,33,TRACE,boot,1,33,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,137000,11,TRACE,boot,1,11,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,139000,39,TRACE,boot,1,39,attacker,1,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,180000,24,TRACE,boot,1,24,attacker,1,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,183000,37,TRACE,boot,1,37,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,201000,46,TRACE,boot,1,46,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,203000,40,TRACE,boot,1,40,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,214000,43,TRACE,boot,1,43,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,240000,9,TRACE,boot,1,9,attacker,1,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,252000,18,TRACE,boot,1,18,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,290000,23,TRACE,boot,1,23,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,290000,48,TRACE,boot,1,48,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,302000,10,TRACE,boot,1,10,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,346000,15,TRACE,boot,1,15,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,369000,19,TRACE,boot,1,19,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,390000,41,TRACE,boot,1,41,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,421000,28,TRACE,boot,1,28,attacker,1,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,421000,44,TRACE,boot,1,44,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,425000,47,TRACE,boot,1,47,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,427000,26,TRACE,boot,1,26,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,483000,25,TRACE,boot,1,25,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,505000,7,TRACE,boot,1,7,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,541000,13,TRACE,boot,1,13,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,549000,1,TRACE,boot,1,1,root,0,0,128,1,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,612000,35,TRACE,boot,1,35,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,642000,3,TRACE,boot,1,3,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,666000,27,TRACE,boot,1,27,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,684000,36,TRACE,boot,1,36,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,692000,14,TRACE,boot,1,14,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,695000,49,TRACE,boot,1,49,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,714000,31,TRACE,boot,1,31,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,721000,22,TRACE,boot,1,22,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,742000,32,TRACE,boot,0,32,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.0
50n_10p_seed1,0.1,1,765000,2,TRACE,boot,1,2,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,792000,45,TRACE,boot,1,45,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,815000,6,TRACE,boot,1,6,attacker,1,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,836000,34,TRACE,boot,1,34,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,837000,42,TRACE,boot,1,42,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,862000,16,TRACE,boot,1,16,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,907000,8,TRACE,boot,1,8,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,926000,21,TRACE,boot,1,21,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,971000,4,TRACE,boot,1,4,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,971000,38,TRACE,boot,1,38,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,998000,50,TRACE,boot,1,50,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,999000,12,TRACE,boot,1,12,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,0.001
50n_10p_seed1,0.1,1,10013000,20,TRACE,periodic,10001,20,benign,0,0,347,2,1,128,219,219,-63,4,0,10.001
50n_10p_seed1,0.1,1,10038000,29,TRACE,periodic,10001,29,benign,0,0,343,2,1,128,215,215,-25,5,0,10.001
50n_10p_seed1,0.1,1,10052000,30,TRACE,periodic,10001,30,benign,0,0,65535,0,0,65535,65535,65535,32767,5,0,10.001
50n_10p_seed1,0.1,1,10065000,5,TRACE,periodic,10001,5,benign,0,0,65535,0,0,65535,65535,65535,32767,2,0,10.001
50n_10p_seed1,0.1,1,10086000,17,TRACE,periodic,10001,17,benign,0,0,65535,0,0,65535,65535,65535,32767,0,0,10.001
50n_10p_seed1,0.1,1,10109000,33,TRACE,periodic,10001,33,benign,0,0,65535,0,0,65535,65535,65535,32767,1,0,10.001
50n_10p_seed1,0.1,1,10137000,11,TRACE,periodic,10001,11,benign,0,0,65535,0,0,65535,65535,65535,32767,2,0,10.001
50n_10p_seed1,0.1,1,10139000,39,TRACE,periodic,10001,39,attacker,1,0,357,2,1,128,229,229,-73,2,0,10.001
50n_10p_seed1,0.1,1,10180000,24,TRACE,periodic,10001,24,attacker,1,0,65535,0,0,65535,65535,65535,32767,2,0,10.001
50n_10p_seed1,0.1,1,10183000,37,TRACE,periodic,10001,37,benign,0,0,353,2,1,128,225,225,-42,4,0,10.001
50n_10p_seed1,0.1,1,10201000,46,TRACE,periodic,10001,46,benign,0,0,316,2,1,128,188,188,-82,3,0,10.001
