scenario,attack_ratio,seed,sim_time_us,mote,record_type,time_ticks,actual_rank,advertised_rank,decrement,time_s
50n_10p_seed1,0.1,1,8616000,39,DRA_ADVERTISE,8478,357,128,512,8.478
50n_10p_seed1,0.1,1,8874000,39,DRA_ADVERTISE,8736,357,128,512,8.736
50n_10p_seed1,0.1,1,9801000,39,DRA_ADVERTISE,9663,357,128,512,9.663
50n_10p_seed1,0.1,1,12059000,39,DRA_ADVERTISE,11921,357,128,512,11.921
50n_10p_seed1,0.1,1,14710000,39,DRA_ADVERTISE,14572,357,128,512,14.572
50n_10p_seed1,0.1,1,16209000,28,DRA_ADVERTISE,15789,355,128,512,15.789
50n_10p_seed1,0.1,1,16666000,28,DRA_ADVERTISE,16246,355,128,512,16.246
50n_10p_seed1,0.1,1,17803000,28,DRA_ADVERTISE,17383,355,128,512,17.383
50n_10p_seed1,0.1,1,18897000,28,DRA_ADVERTISE,18477,355,128,512,18.477
50n_10p_seed1,0.1,1,18932008,39,DRA_ADVERTISE,18794,357,128,512,18.794
50n_10p_seed1,0.1,1,19291000,28,DRA_ADVERTISE,18871,355,128,512,18.871
50n_10p_seed1,0.1,1,20034000,28,DRA_ADVERTISE,19614,355,128,512,19.614
50n_10p_seed1,0.1,1,20282000,28,DRA_ADVERTISE,19862,355,128,512,19.862
50n_10p_seed1,0.1,1,20874000,28,DRA_ADVERTISE,20454,345,128,512,20.454
50n_10p_seed1,0.1,1,20900008,39,DRA_ADVERTISE,20762,346,128,512,20.762
50n_10p_seed1,0.1,1,20929000,6,DRA_ADVERTISE,20115,518,128,512,20.115
50n_10p_seed1,0.1,1,21179000,39,DRA_ADVERTISE,21041,339,128,512,21.041
50n_10p_seed1,0.1,1,21330000,6,DRA_ADVERTISE,20516,518,128,512,20.516
50n_10p_seed1,0.1,1,21564000,28,DRA_ADVERTISE,21144,345,128,512,21.144
50n_10p_seed1,0.1,1,21850008,39,DRA_ADVERTISE,21712,339,128,512,21.712
50n_10p_seed1,0.1,1,22011000,6,DRA_ADVERTISE,21197,518,128,512,21.197
50n_10p_seed1,0.1,1,22188000,24,DRA_ADVERTISE,22009,306,128,512,22.009
50n_10p_seed1,0.1,1,22668000,24,DRA_ADVERTISE,22489,306,128,512,22.489
50n_10p_seed1,0.1,1,22866952,39,DRA_ADVERTISE,22728,330,128,512,22.728
50n_10p_seed1,0.1,1,23482000,24,DRA_ADVERTISE,23303,306,128,512,23.303
50n_10p_seed1,0.1,1,23754000,28,DRA_ADVERTISE,23334,345,128,512,23.334
50n_10p_seed1,0.1,1,23854008,28,DRA_ADVERTISE,23434,345,128,512,23.434
50n_10p_seed1,0.1,1,24315000,6,DRA_ADVERTISE,23501,510,128,512,23.501
50n_10p_seed1,0.1,1,24420008,28,DRA_ADVERTISE,24000,336,128,512,24.0
50n_10p_seed1,0.1,1,25455000,24,DRA_ADVERTISE,25276,306,128,512,25.276
50n_10p_seed1,0.1,1,26237000,28,DRA_ADVERTISE,25817,328,128,512,25.817
50n_10p_seed1,0.1,1,26797000,6,DRA_ADVERTISE,25983,503,128,512,25.983
50n_10p_seed1,0.1,1,27946008,28,DRA_ADVERTISE,27526,320,128,512,27.526
50n_10p_seed1,0.1,1,29011008,6,DRA_ADVERTISE,28197,503,128,512,28.197
50n_10p_seed1,0.1,1,29369000,24,DRA_ADVERTISE,29190,306,128,512,29.19
50n_10p_seed1,0.1,1,31136952,28,DRA_ADVERTISE,30716,313,128,512,30.716
50n_10p_seed1,0.1,1,31888920,24,DRA_ADVERTISE,31709,306,128,512,31.709
50n_10p_seed1,0.1,1,32795000,9,DRA_ADVERTISE,32556,305,128,512,32.556
50n_10p_seed1,0.1,1,33221000,9,DRA_ADVERTISE,32982,305,128,512,32.982
50n_10p_seed1,0.1,1,33546952,28,DRA_ADVERTISE,33126,307,128,512,33.126
50n_10p_seed1,0.1,1,33620000,28,DRA_ADVERTISE,33200,301,128,512,33.2
50n_10p_seed1,0.1,1,33915000,9,DRA_ADVERTISE,33676,305,128,512,33.676
50n_10p_seed1,0.1,1,34346000,6,DRA_ADVERTISE,33532,490,128,512,33.532
50n_10p_seed1,0.1,1,36165000,24,DRA_ADVERTISE,35986,292,128,512,35.986
50n_10p_seed1,0.1,1,36404000,9,DRA_ADVERTISE,36165,305,128,512,36.165
50n_10p_seed1,0.1,1,37725000,39,DRA_ADVERTISE,37587,289,128,512,37.587
50n_10p_seed1,0.1,1,39162000,9,DRA_ADVERTISE,38923,305,128,512,38.923
50n_10p_seed1,0.1,1,44780000,9,DRA_ADVERTISE,44541,305,128,512,44.541
50n_10p_seed1,0.1,1,45907920,6,DRA_ADVERTISE,45093,485,128,512,45.093
50n_10p_seed1,0.1,1,52373000,28,DRA_ADVERTISE,51953,288,128,512,51.953
50n_10p_seed1,0.1,1,52776000,6,DRA_ADVERTISE,51962,456,128,512,51.962
50n_10p_seed1,0.1,1,53545000,39,DRA_ADVERTISE,53407,285,128,512,53.407
50n_10p_seed1,0.1,1,54512000,24,DRA_ADVERTISE,54333,288,128,512,54.333
50n_10p_seed1,0.1,1,54821000,39,DRA_ADVERTISE,54683,285,128,512,54.683
50n_10p_seed1,0.1,1,63171000,28,DRA_ADVERTISE,62751,284,128,512,62.751
50n_10p_seed1,0.1,1,64382000,9,DRA_ADVERTISE,64143,300,128,512,64.143
50n_10p_seed1,0.1,1,66995000,28,DRA_ADVERTISE,66575,284,128,512,66.575
50n_10p_seed1,0.1,1,68658000,6,DRA_ADVERTISE,67844,439,128,512,67.844
50n_10p_seed1,0.1,1,69525000,6,DRA_ADVERTISE,68711,439,128,512,68.711
50n_10p_seed1,0.1,1,69657920,6,DRA_ADVERTISE,68843,439,128,512,68.843
50n_10p_seed1,0.1,1,69793000,24,DRA_ADVERTISE,69614,281,128,512,69.614
50n_10p_seed1,0.1,1,71801000,39,DRA_ADVERTISE,71663,276,128,512,71.663
50n_10p_seed1,0.1,1,75510000,9,DRA_ADVERTISE,75271,300,128,512,75.271
50n_10p_seed1,0.1,1,77824000,24,DRA_ADVERTISE,77645,278,128,512,77.645
50n_10p_seed1,0.1,1,84164000,28,DRA_ADVERTISE,83744,275,128,512,83.744
50n_10p_seed1,0.1,1,84860000,6,DRA_ADVERTISE,84046,425,128,512,84.046
50n_10p_seed1,0.1,1,87054000,24,DRA_ADVERTISE,86875,275,128,512,86.875
50n_10p_seed1,0.1,1,87236000,39,DRA_ADVERTISE,87098,265,128,512,87.098
50n_10p_seed1,0.1,1,90843000,9,DRA_ADVERTISE,90604,295,128,512,90.604
50n_10p_seed1,0.1,1,93635000,28,DRA_ADVERTISE,93215,271,128,512,93.215
50n_10p_seed1,0.1,1,95383000,9,DRA_ADVERTISE,95144,295,128,512,95.144
50n_10p_seed1,0.1,1,95963000,24,DRA_ADVERTISE,95784,275,128,512,95.784
50n_10p_seed1,0.1,1,99659000,6,DRA_ADVERTISE,98845,425,128,512,98.845
50n_10p_seed1,0.1,1,101819000,39,DRA_ADVERTISE,101681,261,128,512,101.681
50n_10p_seed1,0.1,1,106331000,9,DRA_ADVERTISE,106092,295,128,512,106.092
50n_10p_seed1,0.1,1,106820952,6,DRA_ADVERTISE,106006,425,128,512,106.006
50n_10p_seed1,0.1,1,113426000,6,DRA_ADVERTISE,112612,417,128,512,112.612
50n_10p_seed1,0.1,1,115798000,28,DRA_ADVERTISE,115378,263,128,512,115.378
50n_10p_seed1,0.1,1,116998000,39,DRA_ADVERTISE,116860,256,128,512,116.86
50n_10p_seed1,0.1,1,119131000,24,DRA_ADVERTISE,118952,269,128,512,118.952
50n_10p_seed1,0.1,1,123347000,9,DRA_ADVERTISE,123108,291,128,512,123.108
50n_10p_seed1,0.1,1,124131000,39,DRA_ADVERTISE,123993,256,128,512,123.993
50n_10p_seed1,0.1,1,125977000,6,DRA_ADVERTISE,125163,414,128,512,125.163
50n_10p_seed1,0.1,1,130270000,28,DRA_ADVERTISE,129850,261,128,512,129.85
50n_10p_seed1,0.1,1,132650000,6,DRA_ADVERTISE,131836,414,128,512,131.836
50n_10p_seed1,0.1,1,135599000,24,DRA_ADVERTISE,135420,267,128,512,135.42
50n_10p_seed1,0.1,1,135619192,6,DRA_ADVERTISE,134805,407,128,512,134.805
50n_10p_seed1,0.1,1,137853000,39,DRA_ADVERTISE,137715,256,128,512,137.715
50n_10p_seed1,0.1,1,142990000,28,DRA_ADVERTISE,142570,258,128,512,142.57
50n_10p_seed1,0.1,1,146831000,9,DRA_ADVERTISE,146592,287,128,512,146.592
50n_10p_seed1,0.1,1,146844000,6,DRA_ADVERTISE,146030,403,128,512,146.03
50n_10p_seed1,0.1,1,148105000,24,DRA_ADVERTISE,147926,264,128,512,147.926
50n_10p_seed1,0.1,1,149483000,24,DRA_ADVERTISE,149304,264,128,512,149.304
50n_10p_seed1,0.1,1,151953000,28,DRA_ADVERTISE,151533,258,128,512,151.533
50n_10p_seed1,0.1,1,154452000,39,DRA_ADVERTISE,154314,256,128,512,154.314
50n_10p_seed1,0.1,1,161634000,9,DRA_ADVERTISE,161395,287,128,512,161.395
50n_10p_seed1,0.1,1,161962000,28,DRA_ADVERTISE,161542,268,128,512,161.542
50n_10p_seed1,0.1,1,162948000,6,DRA_ADVERTISE,162134,401,128,512,162.134
50n_10p_seed1,0.1,1,163886000,39,DRA_ADVERTISE,163748,256,128,512,163.748
50n_10p_seed1,0.1,1,169033000,24,DRA_ADVERTISE,168854,262,128,512,168.854
50n_10p_seed1,0.1,1,169392000,9,DRA_ADVERTISE,169153,283,128,512,169.153
