scenario,attack_ratio,seed,sim_time_us,mote,record_type,nodes,attackers,attacker_ids
50n_10p_seed1,10,1,,,META,50,5,"6,9,24,28,39"
50n_10p_seed2,10,2,,,META,50,5,"4,8,16,26,40"
50n_10p_seed3,10,3,,,META,50,5,"2,12,14,27,28"
50n_10p_seed4,10,4,,,META,50,5,"7,32,40,42,48"
50n_10p_seed5,10,5,,,META,50,5,"7,19,30,36,44"
50n_20p_seed1,20,1,,,META,50,10,"6,22,29,32,33,36,38,44,47,50"
50n_20p_seed2,20,2,,,META,50,10,"7,12,18,19,21,23,31,39,44,48"
50n_20p_seed3,20,3,,,META,50,10,"3,5,8,12,16,23,46,47,49,50"
50n_20p_seed4,20,4,,,META,50,10,"3,7,8,11,12,14,18,27,37,43"
50n_20p_seed5,20,5,,,META,50,10,"9,15,19,24,30,35,38,44,48,49"
50n_30p_seed1,30,1,,,META,50,15,"9,13,15,18,20,24,25,32,34,38,39,41,42,43,44"
50n_30p_seed2,30,2,,,META,50,15,"2,3,4,10,11,16,18,26,28,31,34,35,39,40,48"
50n_30p_seed3,30,3,,,META,50,15,"2,4,6,11,16,19,21,22,24,31,32,35,38,40,47"
50n_30p_seed4,30,4,,,META,50,15,"3,5,12,14,17,20,22,23,24,25,26,33,40,43,44"
50n_30p_seed5,30,5,,,META,50,15,"3,5,9,11,12,13,14,22,24,30,32,42,43,44,46"
