tp,tn,fp,fn,accuracy,precision,recall,specificity,fpr,f1,balanced_accuracy,model,threshold,threshold_metric,validation_f1,validation_balanced_accuracy,positive_class_weight,num_train_graphs,num_validation_graphs,num_test_graphs,split_policy,train_seeds,validation_seeds,test_seeds,attention_routing,attention_link_quality,attention_temporal,attention_trust,selected_params,validation_balanced_accuracy_threshold
169.0,882.0,198.0,101.0,0.7785185185185185,0.4604904632152589,0.6259259259259259,0.8166666666666667,0.1833333333333333,0.5306122448979592,0.7212962962962963,ml_gcn,0.4299999999999999,f1,0.6390328151986183,0.813425925925926,2.0,81,27,27,held_out_seed,"1,2,3",4,5,,,,,,
153.0,877.0,203.0,117.0,0.762962962962963,0.4297752808988764,0.5666666666666667,0.812037037037037,0.1879629629629629,0.4888178913738019,0.6893518518518518,attn_ml_gcn,0.4299999999999999,f1,0.6025641025641024,0.7736111111111111,2.0,81,27,27,held_out_seed,"1,2,3",4,5,0.2649173454746599,0.2617163055793635,0.2345204325888706,0.2388459163571057,,
137.0,902.0,178.0,133.0,0.7696296296296297,0.4349206349206349,0.5074074074074074,0.8351851851851851,0.1648148148148148,0.4683760683760684,0.6712962962962963,xgboost,0.5499999999999999,f1,0.4943820224719101,0.6930555555555555,2.0,81,27,27,held_out_seed,"1,2,3",4,5,,,,,"max_depth=2,learning_rate=0.03,n_estimators=150",0.5499999999999999
132.0,914.0,166.0,138.0,0.7748148148148148,0.4429530201342282,0.4888888888888889,0.8462962962962963,0.1537037037037037,0.4647887323943662,0.6675925925925926,logistic_regression,0.58,f1,0.4741235392320534,0.6837962962962962,2.0,81,27,27,held_out_seed,"1,2,3",4,5,,,,,C=0.1,0.5099999999999999
205.0,617.0,463.0,65.0,0.6088888888888889,0.3068862275449102,0.7592592592592593,0.5712962962962963,0.4287037037037037,0.4371002132196162,0.6652777777777779,mlp,0.2699999999999999,f1,0.4447004608294931,0.6703703703703704,2.0,81,27,27,held_out_seed,"1,2,3",4,5,,,,,"hidden_layer_sizes=(48,),alpha=0.0001,learning_rate_init=0.001",0.2199999999999999
213.0,582.0,498.0,57.0,0.5888888888888889,0.2995780590717299,0.7888888888888889,0.5388888888888889,0.4611111111111111,0.4342507645259939,0.6638888888888889,dueling_ddqn,0.29,f1,0.4009111617312073,0.625925925925926,2.0,81,27,27,held_out_seed,"1,2,3",4,5,,,,,,
165.0,770.0,310.0,105.0,0.6925925925925925,0.3473684210526316,0.6111111111111112,0.7129629629629629,0.287037037037037,0.4429530201342282,0.662037037037037,random_forest,0.3699999999999999,f1,0.4649446494464945,0.6861111111111111,2.0,81,27,27,held_out_seed,"1,2,3",4,5,,,,,"max_depth=8,min_leaf=3",0.3699999999999999
100.0,925.0,155.0,170.0,0.7592592592592593,0.392156862745098,0.3703703703703703,0.8564814814814815,0.1435185185185185,0.3809523809523809,0.6134259259259259,lightgbm,0.57,f1,0.4809688581314879,0.6791666666666667,2.0,81,27,27,held_out_seed,"1,2,3",4,5,,,,,"num_leaves=7,learning_rate=0.03,n_estimators=150",0.57
191.0,544.0,536.0,79.0,0.5444444444444444,0.2627235213204952,0.7074074074074074,0.5037037037037037,0.4962962962962963,0.3831494483450351,0.6055555555555555,dqn,0.3099999999999999,f1,0.4186046511627907,0.6453703703703704,2.0,81,27,27,held_out_seed,"1,2,3",4,5,,,,,,
253.0,127.0,953.0,17.0,0.2814814814814815,0.2097844112769485,0.937037037037037,0.1175925925925926,0.8824074074074074,0.3428184281842818,0.5273148148148148,ddqn,0.1699999999999999,f1,0.3640226628895184,0.5898148148148148,2.0,81,27,27,held_out_seed,"1,2,3",4,5,,,,,,
